Chi Squared Analysis,Chi Squared Value,P-value,dof,Array
1,1.3396825396825396,0.5117898078169751,2,"[[ 4.5 10.  10.5]
 [ 4.5 10.  10.5]]"
2,2.2232558139534886,0.32902290618533614,2,"[[ 1.  21.5  2.5]
 [ 1.  21.5  2.5]]"
3,1.3603603603603605,0.5065257182477632,2,"[[ 0.5  6.  18.5]
 [ 0.5  6.  18.5]]"
4,8.515151515151514,0.07442929090541801,4,"[[ 2.5 11.   4.5  1.   6. ]
 [ 2.5 11.   4.5  1.   6. ]]"
5,0.3565891472868217,0.8366959186184573,2,"[[ 2.   1.5 21.5]
 [ 2.   1.5 21.5]]"
6,1.024390243902439,0.5991788634896816,2,"[[ 0.5  4.  20.5]
 [ 0.5  4.  20.5]]"
7,0.19548872180451127,0.9068807082895363,2,"[[ 9.5 12.   3.5]
 [ 9.5 12.   3.5]]"
8,0.5208333333333334,0.47048642205878954,1,"[[24.  1.]
 [24.  1.]]"
9,0.3565891472868217,0.8366959186184573,2,"[[ 2.   1.5 21.5]
 [ 2.   1.5 21.5]]"
10,0.6644518272425248,0.41499266639788224,1,"[[21.5  3.5]
 [21.5  3.5]]"
11,7.023255813953488,0.0711602129558882,3,"[[ 1.5  1.5 21.5  0.5]
 [ 1.5  1.5 21.5  0.5]]"
12,2.2232558139534886,0.5273822390562768,3,"[[ 2.5  0.5  0.5 21.5]
 [ 2.5  0.5  0.5 21.5]]"
13,0.3565891472868217,0.8366959186184573,2,"[[ 1.5  2.  21.5]
 [ 1.5  2.  21.5]]"
14,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
15,0.22325581395348837,0.8943769870303845,2,"[[ 2.5  1.  21.5]
 [ 2.5  1.  21.5]]"
16,0.0,1.0,1,"[[21.5  3.5]
 [21.5  3.5]]"
17,3.2195121951219514,0.19993637309772874,2,"[[20.5  4.   0.5]
 [20.5  4.   0.5]]"
18,0.4666666666666667,0.7918895663367818,2,"[[ 4. 15.  6.]
 [ 4. 15.  6.]]"
19,1.6432432432432431,0.6496249324143746,3,"[[ 1.  18.5  5.   0.5]
 [ 1.  18.5  5.   0.5]]"
20,2.3372549019607844,0.31079322758895217,2,"[[15.   8.5  1.5]
 [15.   8.5  1.5]]"
21,2.3372549019607844,0.31079322758895217,2,"[[ 1.5  8.5 15. ]
 [ 1.5  8.5 15. ]]"
22,0.22325581395348837,0.8943769870303845,2,"[[ 2.5  1.  21.5]
 [ 2.5  1.  21.5]]"
23,1.0588235294117647,0.5889513097505534,2,"[[ 8.5 11.   5.5]
 [ 8.5 11.   5.5]]"
24,1.3846153846153846,0.5004199203605701,2,"[[ 6.5 12.   6.5]
 [ 6.5 12.   6.5]]"
25,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
26,2.2774327122153206,0.3202298191526509,2,"[[ 3.  10.5 11.5]
 [ 3.  10.5 11.5]]"
27,2.022222222222222,0.36381451655972846,2,"[[ 0.5  2.  22.5]
 [ 0.5  2.  22.5]]"
28,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
29,4.285714285714286,0.2322191439242609,3,"[[ 1.   0.5  3.5 20. ]
 [ 1.   0.5  3.5 20. ]]"
30,2.2,0.5319483712104882,3,"[[9.  7.5 2.5 6. ]
 [9.  7.5 2.5 6. ]]"
31,0.0,1.0,1,"[[ 0.5 24.5]
 [ 0.5 24.5]]"
32,0.20168067226890757,0.9773175248208971,3,"[[ 1.   3.5 12.   8.5]
 [ 1.   3.5 12.   8.5]]"
33,0.3565891472868217,0.9490566691362001,3,"[[ 1.   1.5 21.5  1. ]
 [ 1.   1.5 21.5  1. ]]"
34,1.0232558139534884,0.5995188231194237,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
35,2.2232558139534886,0.5273822390562768,3,"[[ 0.5  2.5  0.5 21.5]
 [ 0.5  2.5  0.5 21.5]]"
36,1.024390243902439,0.5991788634896816,2,"[[ 0.5  4.  20.5]
 [ 0.5  4.  20.5]]"
37,2.0232558139534884,0.5675939312746454,3,"[[ 1.   2.  21.5  0.5]
 [ 1.   2.  21.5  0.5]]"
38,0.5208333333333334,0.47048642205878954,1,"[[ 1. 24.]
 [ 1. 24.]]"
39,0.3565891472868217,0.8366959186184573,2,"[[ 1.5 21.5  2. ]
 [ 1.5 21.5  2. ]]"
40,1.689922480620155,0.6391765783352383,3,"[[ 1.5  1.5  0.5 21.5]
 [ 1.5  1.5  0.5 21.5]]"
41,1.3565891472868217,0.5074817274985208,2,"[[ 2.   1.5 21.5]
 [ 2.   1.5 21.5]]"
42,1.0232558139534884,0.7956249814468124,3,"[[ 0.5  2.  21.5  1. ]
 [ 0.5  2.  21.5  1. ]]"
43,4.116666666666667,0.24913869323802465,3,"[[ 1.5 15.   8.   0.5]
 [ 1.5 15.   8.   0.5]]"
44,1.689922480620155,0.4295740080434165,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
45,4.090909090909091,0.25181343986762755,3,"[[ 1.  16.5  6.   1.5]
 [ 1.  16.5  6.   1.5]]"
46,1.689922480620155,0.4295740080434165,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
47,1.689922480620155,0.4295740080434165,2,"[[ 0.5  3.  21.5]
 [ 0.5  3.  21.5]]"
